Item,Item Name,Item Group,Warehouse,Stock UOM,Balance Qty,Balance Value,Opening Qty,Opening Value,In Qty,In Value,Out Qty,Out Value,Valuation Rate,Reserved Stock,Company
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Enny logistics LOGISTICS - Novacare Ltd - NL,Nos,27,48600,29,52200,20,36000,22,39600,1800,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Velocitŕ logistics LOGISTICS - Novacare Ltd - NL,Nos,24,43200,38,68400,0,0,14,25200,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Abdulsalam Abubakar Logistics - Novacare Ltd - NL,Nos,2,4000,11,22000,0,0,9,18000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Abdulsalam Abubakar Logistics - Novacare Ltd - NL,Nos,7,12600,14,25200,0,0,7,12600,1800,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Fomax logistics LOGISTICS - Novacare Ltd - NL,Nos,39,70200,60,108000,0,0,21,37800,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Fomax logistics LOGISTICS - Novacare Ltd - NL,Nos,46,92000,76,152000,0,0,30,60000,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Hambolu babatunde philips Logistics - Novacare Ltd - NL,Nos,6,10800,13,23400,0,0,7,12600,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Hambolu babatunde philips Logistics - Novacare Ltd - NL,Nos,8,16000,15,30000,0,0,7,14000,2000,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Hezekiah Victor Adesanmi Logistics - Novacare Ltd - NL,Nos,39,78000,39,78000,0,0,0,0,2000,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Hezekiah Victor Adesanmi Logistics - Novacare Ltd - NL,Nos,33,59400,33,59400,0,0,0,0,1800,0,Novacare Ltd
RESPIRA TEA,RESPIRA LUNG TEA,Novacare,Durojaiye Ilashe Joseph Logistics - Novacare Ltd - NL,Nos,61,109800,63,113400,0,0,2,3600,1800,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Durojaiye Ilashe Joseph Logistics - Novacare Ltd - NL,Nos,55,110000,59,118000,0,0,4,8000,2000,0,Novacare Ltd
ALPHA MAN TEA,ALPHA MAN HERBAL TEA,Novacare,Chidimma maryjane Iloegbunam Logistics - Novacare Ltd - NL,Nos,64,128000,64,128000,0,0,0,0,2000,0,Novacare Ltd
